,Dataset ID,latitude degrees_north,longitude degrees_east,sea_water_practical_salinity,sea_water_temperature,cdm_data_type,server
0,scalar_118170,48.3167616667,-126.0501633333,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_118170,48.3167616667,-126.0501633333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118895,48.316743333299996,-126.050125,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_118895,48.316743333299996,-126.050125,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1189222,48.316516666700004,-126.0502166667,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_1189222,48.316516666700004,-126.0502166667,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1190536,48.316771666666,-126.05016499999999,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_1190536,48.316771666666,-126.05016499999999,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194368,48.316602,-126.050799,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_1194368,48.316602,-126.050799,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1189655,48.316516666700004,-126.0502166667,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1190542,48.316583,-126.05079599999999,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1192794,48.316583,-126.05079599999999,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194359,48.316583,-126.05079599999999,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1200145,48.31664,-126.050738,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194361,48.316583,-126.05079599999999,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1200147,48.31664,-126.050738,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1189656,48.316516666700004,-126.0502166667,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1190543,48.316583,-126.05079599999999,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1192795,48.316583,-126.05079599999999,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
